 	Game Name	Platform	Date Of Acquiry	Date Of Completion	Status	Rating	Times Completed	%	Time	Note	Genre	Condition	Edition
280	Fallout: New Vegas	PS3	07/03/2019	19/08/2020	Completed	98	3				RPG | OpenWorld	Box | Cover | Manual	
649	Fallout 4	PS4	23/08/2023	21/01/2025	Completed 	96.5	1		60:19		RPG | OpenWorld	Box | Cover | Manual	
947	Silent Hill 2	PS2	17/10/2025	20/10/2025	Completed	96	1		6:11		Horror | <3 | Adventure	Box | Cover | Manual	Platinum I Director's Cut
696	Fallout 3 Game of the Year Edition	PS3	09/12/2023	29/03/2024	Completed	95.5	1		44:11		RPG | OpenWorld	Box | Cover	
716	Bloodborne	PS4	21/04/2024	08/07/2025	Completed	95.5	1				Action | RPG | OpenWorld	Box | Cover | Manual	Playstation Hits
298	Metal Gear Solid: Peace Walker	PSP	19/05/2019	07/06/2019	Completed	95	1		41:25	GotM May|Jun19 || #1 PSP || #1 Action || #1 2019a|c	Action | Stealth	Box | Cover | Manual	
329	Warriors Orochi	PSP	02/01/2020	31/10/2020	Completed	94.5	1				Action | H&S	Box | Cover | Manual	
150	Neverwinter Nights	PC	15/08/2016	05/09/2016	Completed	94	1			#1 2016a|c || #1 PC || #1 RPG	RPG | OpenWorld	Box | Cover	Sold Out Software
355	Dark Souls II	PS3	08/07/2020	05/04/2023	Completed	94	1		34:39		RPG | <3 | OpenWorld	Box | Cover | Manual	
354	Bioshock	PS3	08/07/2020	20/07/2020	Completed	93.5	1			#1 PS3 || #1 Shooter || GotM Jul20	FPS | <3	Box | Cover | Manual	
934	Batman: Arkham Knight	PS4	20/08/2025	22/03/2026	 Completed	93	1				Action | Adventure	Box | Cover 	
104	Professor Layton and the Curious Village	NDS	23/06/2015	24/06/2015	Completed	93	2	100	12:10	#1 2015a|c || #1 DS || #1 Puzzle	Puzzle	/	
220	Rune Factory 2	NDS	19/05/2018	20/09/2018	Completed	93	1			#1 2018a|c || #2 DS || GotM Sep18 || #2 RPG	RPG | OpenWorld	/	
458	Red Dead Redemption	PS3	21/02/2022	28/10/2023	Completed	93	1				Action | Adventure | OpenWorld	Box | Cover | Manual	GOTY
686	Death Stranding	PS4	09/12/2023	26/07/2025	Completed	93	1		39:11		Action | Adventure | OpenWorld	Box | Cover	
757	Ghost of Tsushima	PS4	09/09/2024	26/05/2026	Completed	93	1	100			Action | Adventure 	Box | Cover | Manual	
418	Kessen III	PS2	27/07/2021	20/11/2024	Completed	92.5	1				Strategy	Box | Cover | Manual	
397	Kingdoms of Amalur: Reckoning	PS3	14/04/2021	08/03/2022	Completed	92.5	1		47:30		Action | RPG | OpenWorld	Box | Cover | Manual	
659	Warriors Orochi 4	PS4	29/08/2023	12/08/2025	Completed	92.5	1		36:01		Action | H&S | <3 | OpenWorld	Box | Cover	
644	Borderlands 2	PS4	23/08/2023	24/06/2025	Completed	92.5	1		42:33		FPS | RPG | OpenWorld	Box | Cover | Manual	Handsome Collection
195	Half-Life	PC	17/08/2017	06/09/2017	Completed	92	1	100		#1 2017a|c || #2 PC || #2 Shooter	FPS	/	
109	Ratchet & Clank 2	PS2	15/09/2015	15/10/2015	Completed	92	1		25:11	#2 2015a|c || #1 PS2 || #2 Action	Action | Adventure	Box | Cover	
189	Ratchet & Clank 3	PS2	30/07/2017	04/08/2017	Completed	92	1		29:35	#2 2017a|c || #2 PS2 || #3 Action	Action | Adventure	Box | Cover | Manual	
579	Warriors Orochi 3	PS3	11/02/2023	05/03/2023	Completed	92	1				Action | H&S	Box | Cover | Manual	
908	Medievil	PS4	09/06/2025	16/06/2025	Completed	92	1	100			Action | Adventure	Box | Cover	
224	Super Metroid	SNES Classic	27/07/2018	23/08/2018	Completed	92	1	58	09:30	#2 2018a|c || #1 SNESc || #1 Platformer || GotM Aug18	Platformer	Built-in Console	
550	Yo-kai Watch	3DS	17/10/2022	10/11/2022	Completed	91.5	1		19:10		RPG | <3 | OpenWorld	Box | Cover | Manual	
98	Half-Life 2	PC	13/06/2015	25/06/2015	Completed	91	1			#3 2015a|c || #3 PC || #3 Shooter	FPS	Box | Cover	
353	Metal Gear Solid 2: Sons of Liberty	PS2	08/07/2020	14/07/2020	Completed	91	1		11:23	#4 Action || #3 PS2	Action | Stealth	Box | Cover	
321	Final Fantasy XIII	PS3	06/12/2019	01/06/2020	Completed	91	1		45:35	GotM May20 || #3 RPG || #3 PS3 || #3 2019a	RPG	Box | Cover | Manual	
290	Heavy Rain	PS3	08/04/2019	30/04/2019	Completed	91	3			#2 PS3 ||  #2 2019a|c	Adventure	Box | Cover | Manual	Move Edition | Essentials
60	Me & My Katamari	PSP	25/04/2014	Not Registered	Completed	91	1	99		#2 PSP	Action | Puzzle	Box | Cover*	
596	Silent Hill 4: The Room	PS2	14/04/2023	20/05/2023	Completed	90.5	1		08:46		Horror | Adventure	Box | Cover | Manual	
699	The Last of Us	PS3	09/12/2023	07/05/2024	Completed 	90.5	1				Action | Adventure	Box | Cover | Manual	
432	Bully	PS2	29/09/2021	22/10/2021	Completed	90	1	66			Action | Adventure | OpenWorld	Box | Cover | Manual	
197	God of War II	PS2	26/08/2017	31/08/2017	Completed	90	1		14:38	#3 2017a|c || #4 PS2	Action | H&S	Box | Cover | Manual	Platinum
335	Bioshock 2	PS3	24/02/2020	12/04/2020	Completed	90	1			#4 Shooter || #4 PS3 || GotM Apr20	FPS	Box | Cover | Manual	
358	Fallout 3	PS3	24/08/2020	11/09/2020	Completed	90	1				RPG | OpenWorld	Box | Cover | Manual	
454	Saints Row IV	PS3	25/01/2022	18/07/2022	Completed	90	1	96	22:20		Action | Adventure | OpenWorld	Box | Cover | Manual	Commander in Chief
585	Deus Ex: Human Revolution 	PS3	11/02/2023	25/04/2025	Completed	90	1				FPS | RPG | Stealth	Box | Cover | Manual	
53	Medievil Resurrection	PSP	02/11/2013	Not Registered	Completed	90	2	100		#3 PSP || #5 Action	Action | Adventure	Box | Cover | Manual	Platinum
621	Resident Evil 4	PS2	29/05/2023	14/07/2023	Completed	89	1		15:47		Action | Horror	Box | Cover | Manual	
1034	Silent Hill 3 HD	PS3	01/07/2026	09/07/2026	Completed	89	1		05:47		Horror | Adventure	Box | Cover | Manual	HD Collection
300	DMC Devil May Cry	PS3	21/06/2019	29/07/2019	Completed	89	3		24:37	GotM July19 || #5 PS3 || #4 2019a|c	Action | <3 | H&S	Box | Cover | Manual	Essentials
541	Resident Evil Revelations	PS3	22/09/2022	09/10/2022	Completed	89	1		15:21		Horror | TPS	Box | Cover | Manual	
239	Earthbound	SNES Classic	27/07/2018	15/02/2019	Completed	89	1		27:30	#3 2018a || #2 SNESc || #4 RPG || #3 2019c	RPG	Built-in Console	
709	Dead Space 2	PS3	02/03/2024	01/10/2024	Completed	88.5	1				Horror | TPS | Adventure	Box | Cover | Manual	Limited Edition
935	Rayman Legends	PS4	15/09/2025	27/09/2025	Completed	88.5	1				Platformer	Box | Cover | Manual	
677	Revelations: Persona	PS Classic	07/11/2023	06/12/2023	Completed	88	1		32:00		RPG	Built-in Console	
121	Burnout Revenge	PS2	30/10/2015	05/11/2015	Completed	88	1			#4 2015a|c || #5 PS2 || #1 Racing	Racing	Box | Cover | Manual	
633	Samurai Warriors 2 Empires	PS2	07/08/2023	22/07/2024	Completed	88	2				Action | H&S | Strategy	Box | Cover | Manual	
520	Sleeping Dogs	PS3	26/07/2022	03/08/2023	Completed	88	1	100	26:57		Action | Adventure | OpenWorld	Box | Cover | Manual	Essentials
320	Lightning Returns: Final Fantasy XIII	PS3	04/12/2019	18/02/2020	Completed	88	1	100	31:20	#5 2019a || #5 RPG || GotM Feb20	RPG | <3 | OpenWorld	Box | Cover | Manual	
690	Uncharted 4: A Thief's End	PS4	09/12/2023	29/06/2024	Completed	88	1		13:45		Action | Adventure	Box | Cover	
23	Grand Theft Auto: Chinatown Wars	PSP	Day 1 2012	Not Registered	Completed	88	1			#4 PSP	Action | Adventure | OpenWorld	Box | Cover | Manual	
816	LocoRoco 2	PSP	09/02/2025	12/04/2025	Completed	88	1				Platformer	Box | Cover	
708	Dead Space	PS3	02/03/2024	01/09/2024	Completed 	88	1				Horror | TPS | Adventure	Box | Cover | Manual	
627	LocoRoco	PSP	13/07/2023	25/07/2023	Completed	87.5	1				Platformer	Box | Cover | Manual	
694	Castlevania: Lords of Shadow	PS3	09/12/2023	16/01/2024	Completed	87	1				Action | H&S	Box | Cover | Manual	
565	Yo-Kai Watch 2: Fleshy Souls	3DS	01/01/2023	20/09/2024	Completed	87	1		29:29		RPG | <3 | OpenWorld	Box | Cover | Manual	
105	Professor Layton and the Pandora's Box	NDS	23/06/2015	07/07/2015	Completed	87	1	100	14:29	GotM Aug19 || #4 PS3 || #5 2019a|c	Puzzle | L	/	
175	Jade Empire: Special Edition	PC	28/01/2017	15/02/2017	Completed	87	1		13:58	#4 2017a|c || #4 PC	RPG | OpenWorld	Box | Cover	PC Gamer
275	Devil May Cry 3: Dante's Awakening	PS2	17/01/2019	13/02/2019	Completed	87	2		15:42	GotM Feb19 || #5 2019c	Action | <3 | H&S	Box | Cover | Manual	Special Edition
631	Samurai Warriors 2	PS2	07/08/2023	08/06/2024	Completed	87	1		38:40		Action | H&S	Box | Cover | Manual	
441	Bioshock Infinite	PS3	14/12/2021	14/01/2022	Completed	87	1				FPS	Box | Cover | Manual	
310	L.A. Noire	PS3	17/09/2019	26/10/2019	Completed	87	1			#5 PS3	Action | Adventure | OpenWorld	Box | Cover | Manual	
664	Silent Hill: Homecoming	PS3	17/10/2023	12/11/2023	Completed	87	1				Horror | Adventure | <3	Box | Cover	
164	Grand Theft Auto: Liberty City Stories	PSP	06/09/2016	16/09/2016	Completed	87	1	40		#2 2016a|c || #5 PSP	Action | Adventure | OpenWorld	Box | Cover | Manual	
27	Metal Gear Solid: Portable Ops	PSP	Late 2012	Not Registered	Completed	87	2		21:10		Action | Stealth	Box | Cover | Manual	Essentials
227	Super Mario RPG: Legend Of The Seven Stars	SNES Classic	27/07/2018	14/08/2018	Completed	87	1		18:49	#4 2018a || #3 SNESc || #3 2018c	RPG	Built-in Console	
349	Cursed Mountain	Wii	08/07/2020	13/12/2021	Completed	87	1				Horror | Adventure	Box | Cover | Manual	
348	MadWorld	Wii	08/07/2020	11/09/2021	Completed	87	1				Action | H&S	Box | Cover | Manual	
91	New Super Mario Bros. Wii	Wii	21/04/2015	16/05/2015	Completed	87	1			#1 Wii || #3 Platformer	Platformer	Box | Cover 	
406	Kessen II	PS2	06/07/2021	01/08/2021	Completed	86.5	1				Strategy	Box | Cover	
284	Saints Row: The Third	PS3	07/03/2019	11/08/2019	Completed	86.5	1	100	23:55	GotM Aug19	Action | Adventure | OpenWorld	Box | Cover | Manual	The Full Package
442	Uncharted 2: Among Thieves	PS3	14/12/2021	07/01/2022	Completed	86.5	1				Action | Adventure	Box | Cover | Manual	
556	Assassin's Creed II	PS3	04/11/2022	16/02/2023	Completed	86.5	1	95			Action | Adventure | OpenWorld	Box | Cover | Manual	
106	Professor Layton and the Unwound Future	NDS	23/06/2015	21/07/2015	Completed	86	1	100	14:35	#5 DS || #3 Puzzle	Puzzle | L	/	
50	Resident Evil 2	PC	Late 2013 - Early 2014	Not Registered	Completed	86	1			#5 PC || #2 Horror	Horror | Adventure	Box | Cover*	
136	Resident Evil - Code: Veronica X	PS2	28/12/2015	15/04/2016	Completed	86	1			#3 Horror || #3 2016c	Horror | Adventure	Box | Cover | Manual	
357	Batman: Arkham Asylum	PS3	24/08/2020	30/08/2020	Completed	86	1	84			Action | Adventure	Box | Cover | Manual	Platinum
297	Batman: Arkham City	PS3	07/05/2019	20/03/2020	Completed	86	1	55			Action | Adventure | OpenWorld	Box | Cover | Manual	GOTY Edition
308	South Park: The Stick of Truth	PS3	17/09/2019	25/09/2019	Completed	86	1				RPG | OpenWorld	Box | Cover | Manual	
344	Uncharted 3: Drake's Deception	PS3	09/06/2020	25/08/2024	Completed	86	1		07:46		Action | Adventure	Box | Cover | Manual	GOTY
319	Falling Skies: The Game	PS3	29/11/2019	26/12/2022	Completed	86	1	100			Strategy | RPG	Box | Cover | Manual	
592	God of War III	PS3	16/03/2023	19/04/2023	Completed	86	1				Action | Adventure	Box | Cover | Manual	
661	Ratchet & Clank: Tools of Destruction	PS3	31/08/2023	27/09/2023	Completed	86	1				Action | Adventure	Box | Cover | Manual	Platinum
829	Condemned 2: Bloodshot	PS3	09/02/2025	02/04/2025	Completed	86	1				Horror	Box | Cover | Manual	
827	Batman: Arkham Origins	PS3	09/02/2025	04/09/2025	Completed	86	1				Action | Adventure | OpenWorld	Box | Cover | Manual	
653	Dishonored	PS4	28/08/2023	10/09/2023	Completed	86	1				Action | Stealth	Box | Cover | Manual	Definitive Edition
662	Dishonored 2	PS4	03/09/2023	06/11/2025	Completed	86	1				Action | Stealth	Box | Cover | Manual	
951	The Evil Within	PS4	28/10/2025	01/01/2026	Completed	86	1				Horror | TPS	Box | Cover | Manual	
56	Burnout Legends	PSP	25/04/2014	Not Registered	Completed	86	1	66		#2 Racing	Racing	Box | Cover*	
180	Silent Hill: Origins	PSP	14/04/2017	17/04/2017	Completed	86	3		07:14	#5 2017a|c || #1 Horror	Horror | Adventure	Box | Cover | Manual	
660	Middle-earth: Shadow of Mordor	PS3	30/08/2023	18/04/2024	Completed	85.5	1				Action | Adventure | OpenWorld	Box | Cover | Manual	
264	Guilty Gear X2 #Reload	PC	11/09/2018	16/09/2018	Completed	85	1			#1 Fighting || #5 2018c	Fighting	Box | Cover	
161	Baldur's Gate: Dark Alliance II	PS2	21/08/2016	22/08/2017	Completed	85	1		11:23	#3 2016a	RPG | Action	/	
727	Odin Sphere	PS2	15/05/2024	20/06/2024	Completed	85	1		27:35		Action | RPG | <3	Box | Cover | Manual	
281	inFamous 2	PS3	07/03/2019	03/04/2020	Completed	85	1	90			Action | Adventure | OpenWorld	Box | Cover | Manual	
542	Resident Evil Revelations 2	PS3	22/09/2022	04/12/2022	Completed	85	1				Horror | TPS	Box | Cover | Manual	
536	Grand Theft Auto IV	PS3	27/08/2022	13/02/2024	Completed	85	1		23:47		Action | Adventure | OpenWorld	Box | Cover | Manual	
64	God Of War: Chains of Olympus	PSP	Late 2013 - Early 2014	Not Registered	Completed	85	3				Action | H&S	Box | Cover | Manual	Platinum
307	Innocent Life	PSP	30/08/2019	17/11/2019	Completed	85	1		28:10:00	GotM Oct19|Nov19	RPG | OpenWorld	/	
237	Super Mario World 2: Yoshi's Island	SNES Classic	27/07/2018	03/09/2018	Completed	85	1		09:09	#5 2018a || #4 SNESc || #4 Platformer || #4 2018c	Platformer	Built-in Console	
961	Touch My Katamari	VITA	19/11/2025	15/02/2026	Completed	85	1	100			Action | Puzzle | L	Box | Cover | Manual	
515	The Legend of Zelda: Link's Awakening	G&W	14/06/2022	02/10/2022	Completed	84.5	1				Action | RPG	Built-In Console	
217	Another Code: Two Memories	NDS	19/05/2018	20/05/2018	Completed	84	1				Puzzle | Adventure	/	
364	Pokemon White	NDS	17/10/2020	23/03/2021	Completed	84	1		20:21		RPG | <3	Box | Cover	
204	Neverwinter Nights: Shadows of Undrentide	PC	26/08/2017	19/09/2017	Completed	84	1				RPG	Box | Cover	Best of Atari
672	Metal Gear Solid	PS Classic	07/11/2023	06/12/2025	Completed	84	1				Action | Stealth	Built-in Console	
517	Metal Gear Solid 3: Snake Eater	PS2	14/07/2022	11/06/2023	Completed	84	1		15:51		Action | Stealth	Box | Cover | Manual	
309	Final Fantasy XIII-2	PS3	17/09/2019	05/01/2020	Completed	84	1		23:12	GotM Dec19	RPG	Box | Cover | Manual	
656	Grand Theft Auto: Episodes from Liberty City	PS3	28/08/2023	07/06/2025	Completed	84	1				Action | Adventure | OpenWorld	Box | Cover | Manual	
654	Ratchet & Clank	PS4	28/08/2023	18/09/2023	Completed	84	2	100			Action | Adventure	Box | Cover | Manual	
1000	Devil May Cry 5	PS4	19/02/2026	04/03/2026	Completed	84	1				Action | H&S	Box | Cover	
32	Burnout Dominator	PSP	02/02/2013	Not Registered	Completed	84	1			#3 Racing	Racing	Box | Cover	
71	Ratchet & Clank: Size Matters	PSP	24/01/2014	Not Registered	Completed	84	1				Action | Adventure	Box | Cover | Manual	Platinum
78	Syphon Filter: Dark Mirror	PSP	26/12/2014	03/01/2015	Completed	84	1			#5 Shooter	Action | TPS	Box | Cover | Manual	Essentials
67	Syphon Filter: Logan's Shadow	PSP	Late 2013 - Early 2014	Not Registered	Completed	84	1				Action | TPS	Box | Cover | Manual	
223	Super Mario World	SNES Classic	27/07/2018	18/08/2018	Completed	84	1	44	02:33	#5 SNESc || #5 Platformer	Platformer	Built-in Console	
52	Football Manager 2010 Handheld	PSP	25/04/2014	/	Null	84	/			#1 Sports	Sports	Box | Cover | Manual	
362	Anno: Create a New World	NDS	28/09/2020	07/09/2021	Completed	83.5	1				Strategy	/	
49	Grand Theft Auto: Vice City Stories	PSP	March 2013	24/09/2019	Completed	83.5	1	37	14:02	GotM Sept19	Action | Adventure | OpenWorld	Box | Cover*	
13	New Super Mario Bros.	NDS	Day 1 2012	Not Registered	Completed	83	1			#3 DS || #2 Platformer	Platformer	/	
258	Mario Kart DS	NDS	22/08/2018	24/08/2018	Completed	83	1			#4 Racing	Racing 	/	
187	Deus Ex: Invisible War	PC	04/07/2017	15/07/2017	Completed	83	1		07:35		FPS | RPG	Box | Cover	PC Gamer
173	Legacy of Kain: Defiance	PC	14/01/2017	02/02/2017	Completed	83	1		14:56		Action | H&S	Box | Cover	Sold Out Software
291	Alone in the Dark: Inferno	PS3	08/04/2019	14/08/2019	Completed	83	1			#4 Horror	Horror | Action	Box | Cover | Manual	
371	Darksiders II	PS3	04/01/2021	21/03/2021	Completed	83	1		19:32		Action | Adventure | OpenWorld	Box | Cover | Manual	First Edition
313	Dungeon Siege 3	PS3	28/10/2019	10/07/2020	Completed	83	1				RPG | Action	Box | Cover 	
444	Metal Gear Solid 4: Guns of the Patriots	PS3	14/12/2021	16/05/2022	Completed	83	1				Action | Stealth	Box | Cover | Manual	
567	Dynasty Warriors 6	PS3	09/01/2023	17/05/2025	Completed	83	1				Action | H&S	Box | Cover | Manual	
997	Dynasty Warriors 6 Empires	PS3	28/01/2026	10/02/2026	Completed	83	2				H&S | Strategy	Box | Cover	
94	Daxter	PSP	30/04/2015	06/05/2015	Completed	83	1	84			Action | Adventure	Box | Cover	Platinum
213	God of War: Ghost of Sparta	PSP	11/04/2018	15/04/2018	Completed	83	1		07:31		Action | H&S	Box | Cover | Manual	
333	X-Men Legends II: Rise of Apocalypse	PSP	02/01/2020	14/03/2020	Completed	83	1		17:20	GotM Mar20	RPG | Action		
390	Resistance: Fall of Man	PS3	14/04/2021	20/06/2021	Completed	82.5	1				FPS	Box | Cover | Manual	
394	Wet	PS3	14/04/2021	06/06/2021	Completed	82.5	1				Action | TPS	Box | Cover | Manual	
618	Assassin's Creed: Brotherhood	PS3 	29/05/2023	14/10/2023	Completed	82.5	1	54	17:05		Action | Adventure | OpenWorld	Box | Cover | Manual	
588	Super Mario Maker	3DS	20/02/2023	12/03/2023	Completed	82	1				Platformer	Box | Cover | Manual	
19	Thrillville: Off The Rails	NDS	Day 1 2012	Not Registered	Completed	82	1			#1 Strategy	Strategy	/	
196	Half-Life: Blue Shift	PC	17/08/2017	10/09/2017	Completed	82	1	100			FPS	/	
141	Tom Clancy's Splinter Cell: Chaos Theory	PC	11/04/2016	24/04/2016	Completed	82	1			#5 2016a|c	Stealth | Action	Box	
108	Ratchet & Clank	PS2	15/09/2015	23/10/2015	Completed	82	1		17:47		Action | Adventure	Box | Cover	Platinum
474	Thrillville: Off The Rails	PS2	08/04/2022	08/06/2022	Completed	82	1				Strategy	Box | Cover | Manual	
663	Ratchet: Gladiator	PS2	17/10/2023	15/03/2024	Completed	82	1				Action | TPS | <3	Box | Cover | Manual	
697	Need for Speed: Most Wanted	PS3	09/12/2023	06/03/2024	Completed	82	1	79			Racing	Box | Cover | Manual	
285	Assassin's Creed: Revelations	PS3	07/03/2019	27/04/2019	Completed	82	1	73	16:56		Action | Adventure | OpenWorld	Box | Cover | Manual	Special Edition
294	LittleBigPlanet 2	PS3	07/05/2019	30/04/2020	Completed	82	1				Platformer	Box | Cover | Manual	
374	Naruto Shippuden: Ultimate Ninja Storm 2	PS3	04/01/2021	03/05/2021	Completed	82	1				Fighting	Box | Cover	Platinum
470	Vanquish	PS3	31/03/2022	29/07/2022	Completed	82	1		03:47		Action | TPS	Box | Cover | Manual	
915	The Darkness II	PS3	09/06/2025	07/09/2025	Completed	82	1				Horror | FPS	Box | Cover | Manual	
143	Skylanders: Giants	Wii	14/06/2016	13/07/2016	Completed	82	1	51		#4 2016a|c || #2 Wii	Action | Adventure	Box | Cover | Manual	
1003	Taiko no Tatsujin: V Version	VITA	27/03/2026	06/06/2026	Completed 	82	1				Party	Box | Cover | Manual	
513	The Legend of Zelda	G&W	14/06/2022	26/06/2022	Completed	81	1				Action | Adventure	Built-In Console	
337	Enslaved: Odyssey to the West	PS3	24/02/2020	26/03/2020	Completed	81	1				Action | Adventure	Box | Cover | Manual	
70	Naruto Shippuden: Ultimate Ninja Heroes 3	PSP	Late 2013 - Early 2014	Not Registered	Completed	81	1			#2 Fighting	Fighting	Box | Cover | Manual	Essentials
216	Secret Agent Clank	PSP	18/05/2018	04/06/2018	Completed	81	1		07:53		Action | Adventure	Box  	
231	Super Castlevania IV	SNES Classic	27/07/2018	16/08/2018	Completed	81	1		02:12		Platformer	Built-in Console	
233	The Legend of Zelda: A Link to the Past	SNES Classic	27/07/2018	15/11/2025	Completed	81	1		10:30		RPG | OpenWorld	Built-in Console	
378	Rayman Origins	Wii	06/02/2021	22/04/2021	Completed	81	1				Platformer  	Box | Cover | Manual	
488	Prince of Persia: The Two Thrones	PS2	22/04/2022	08/09/2022	Completed	80.5	1				Action | Adventure	Box | Cover	
415	Dino Crisis	PS1	26/07/2021	02/10/2021	Completed	80	1		04:55		Horror | Adventure	Box | Cover | Manual	
730	Yakuza	PS2	30/05/2024	04/08/2024	Completed	80	1		12:49		Action | Adventure | OpenWorld	Box | Cover | Manual	
194	Dynasty Warriors 3	PS2	16/08/2017	18/08/2017	Completed	80	1			#5 2016a	Action | H&S	Box | Cover	
295	Burnout Paradise	PS3	07/05/2019	30/07/2019	Completed	80	1		12:33	#5 Racing	Racing | OpenWorld	Box | Cover 	
921	RAGE 2	PS4	19/07/2025	10/03/2026	Completed	80	1				FPS	Box | Cover | Manual	
181	Silent Hill: Shattered Memories	PSP	24/04/2017	28/04/2017	Completed	80	1			#5 Horror	Horror | Adventure	Box | Cover | Manual	
123	Skylanders: Spyro's Adventure	Wii	08/11/2015	05/12/2015	Completed	80	1	41		#3 Wii	Action | Adventure	Box | Cover | Manual	
925	Minecraft	PS3	19/07/2025		Not Completed	80	1				Adventure	Box | Cover | Manual	PS3 Edition
327	Wii Fit Plus	Wii	29/12/2019	/	Null	80	/					Box | Cover | Manual	
439	Borderlands	PS3	02/12/2021	25/01/2023	Completed	79.5	1				FPS | RPG | OpenWorld	Box | Cover*	
552	Onimusha: Warlords	PS2	04/11/2022		Not Completed	79.5	0				Action | H&S	Box | Cover	
548	New Super Mario Bros. 2	3DS	14/10/2022	21/10/2022	Completed	79	1				Platformer	/	
20	Mario vs. Donkey Kong: Mini-Land Mayhem	NDS	Day 1 2012	Not Registered	Completed	79	2			#4 Puzzle	Puzzle	/	
142	Painkiller: Black Edition	PC	14/06/2016	26/06/2016	Completed	79	1				FPS	Box | Cover	
176	Puzzle Quest: Galactrix	PC	28/01/2017	29/06/2017	Completed	79	1	100		#5 Puzzle	RPG | Puzzle	Box | Cover | Manual	
185	The Suffering	PC	04/07/2017	07/07/2017	Completed	79	1				Horror | Action	Box | Cover	
107	Crash Bandicoot 2: Cortex Strikes Back	PS1	07/09/2015	21/03/2016	Completed	79	1	55		#1 PS1	Platformer	Box | Cover 	
526	Need for Speed: The Run	PS3	27/08/2022	12/09/2022	Completed	79	1		02:22		Racing	Box | Cover | Manual	Limited Edition
770	Tomb Raider	PS3	12/09/2024	18/03/2025	Completed	79	1				Action | Adventure	Box | Cover | Manual	
745	InFamous	PS3	23/07/2024	14/10/2025	Completed	79	1				Action | Adventure | OpenWorld	Box | Cover | Manual	Essentials
619	Murdered: Soul Suspect	PS3 	29/05/2023	24/02/2024	Completed	79	1	100			Adventure	Box | Cover | Manual	
918	The Order 1886	PS4	19/07/2025	25/10/2025	Completed	79	1				Action | TPS	Box | Cover | Manual	
82	Gangs Of London	PSP	04/03/2015	07/03/2015	Completed	79	1				Action | Adventure	Box | Cover | Manual	
540	Mario Kart Wii	Wii	22/09/2022	28/06/2023	Completed	79	2				Racing	Box | Cover | Manual	
586	Phantasy Star Portable	PSP	11/02/2023	10/06/2024	Completed	78.5	1				Action | RPG	Box | Cover | Manual	
222	Lunar Genesis	NDS	19/05/2018	03/07/2018	Completed	78	1		20:35		RPG	/	
144	Bionicle Heroes	PS2	20/07/2016	30/07/2016	Completed	78	1	100			TPS | Action	Box | Cover 	
692	Bayonetta	PS3	09/12/2023	21/05/2024	Completed	78	1				Action | H&S	Box | Cover	
744	Diablo III	PS3	23/07/2024	13/12/2024	Completed	78	1				Action | RPG	Box | Cover	
746	Just Cause 2	PS3	23/07/2024	12/01/2026	Completed	78	1	28	14:05		Action | Adventure | OpenWorld	Box | Cover | Manual	
828	Red Faction: Guerilla	PS3	09/02/2025	30/01/2026	Completed	78	1				Action | TPS	Box | Cover | Manual	
63	Ghost Rider	PSP	25/04/2013	Not Registered	Completed	78	1				Action | H&S	Box | Cover*	
960	Toukiden: The Age of Demons	VITA	19/11/2025	24/12/2025	Completed	78	1				Action | RPG | L	Box | Cover | Manual	
92	Need For Speed Nitro	Wii	21/04/2015	03/08/2015	Completed	78	1	77		#4 Wii	Racing	Box | Cover | Manual	
519	Tekken 6	PS3	26/07/2022	28/08/2022	Completed	77.5	1				Fighting	Box | Cover | Manual	Platinum
735	Headhunter Redemption	PS2	30/05/2024	26/04/2026	Completed	77	1				Action | Adventure	Box | Cover | Manual	
393	F.E.A.R.	PS3	14/04/2021	25/01/2022	Completed	77	1				FPS | Horror	Box | Cover | Manual	
691	Assassin's Creed III	PS3	09/12/2023	29/05/2025	Completed	77	1				Action | Adventure | OpenWorld	Box | Cover	
971	Binary Domain	PS3	11/12/2025	22/02/2026	Completed	77	1				TPS	Box | Cover | Manual	
332	Alien Syndrome	PSP	02/01/2020	15/02/2020	Completed	77	1				Action | RPG	Box | Cover | Manual	
228	Donkey Kong Country	SNES Classic	27/07/2018	17/08/2018	Completed	77	1	46	02:33		Platformer	Built-in Console	
125	Donkey Kong Country Returns	Wii	08/11/2015	03/12/2015	Completed	77	1	77		#5 Wii	Platformer	Box | Cover 	
159	Grand Theft Auto: Vice City	PS2	21/08/2016		Not Completed	77	0	11			Action | Adventure | OpenWorld	/	
457	The Saboteur	PS3	19/02/2022	29/10/2024	Completed	76.5	1				Action | Adventure | OpenWorld	Box | Cover | Manual	
906	Super Mario 3D Land	3DS	09/06/2025	01/08/2025	Completed	76	1		05:19		Platformer	Box | Cover	
405	Spider-Man 2	PS2	06/07/2021	06/12/2021	Completed	76	1				Action | Adventure | OpenWorld	Box | Cover | Manual	
345	Skate 3	PS3	09/06/2020	04/07/2020	Completed	76	1			#3 Sports	Sports | OpenWorld	Box | Cover | Manual	Essentials
282	The Darkness 	PS3	07/03/2019	17/03/2019	Completed	76	1			Gotm Mar19 	Horror | FPS	Box | Cover	
568	BlazBlue: Calamity Trigger	PS3	09/01/2023	13/01/2023	Completed	76	1				Fighting	Box | Cover | Manual	
61	50 Cent: Bulletproof G Unit Edition	PSP	25/04/2013	Not Registered	Completed	76	2				Action | Adventure	Box | Cover*	
