 	Game Name	Platform	Date Of Acquiry	Date Of Completion	Status	Rating	Times Completed	%	Time	Note	Genre	Condition	Edition
35	Rocky Balboa	PSP	02/02/2013	/	Null	23	/				Sports	Box | Cover*	
581	Zenses Rainforest	NDS	11/02/2023	/	Null	22	/				Puzzle	Box | Cover | Manual	
559	UFC Undisputed 3	PS3	04/11/2022	/	Null	22	/				Sports | Fighting 	Box | Cover | Manual	
1001	Pro Yakyuu Spirits 2015	VITA	27/03/2026	/	Null	22	/				Sports	Box | Cover | Manual	
395	Tony Hawk's Proving Ground	PS3	14/04/2021		Not Completed	21	0				Sports	Box | Cover | Manual	
134	Jetix Puzzle Buzzle	PS2	28/12/2015	/	Null	21	/				Puzzle	Box | Cover 	
209	UFO: Aftermath	PC	09/01/2018		Not Completed	20	0				Strategy	Box | Cover | Manual	
100	Uru: Ages Beyond Myst	PC	22/06/2015		Not Completed	20	0				Puzzle	Box | Cover	Complete Chronicles
99	Uru: The Path Of The Shell	PC	22/06/2015		Not Completed	20	0				Puzzle	Box | Cover	Complete Chronicles
245	Summoner	PS2	11/08/2018		Not Completed	20	0				RPG | L	Box | Cover | Manual	
496	World Racing 2	PS2	19/05/2022		Not Completed	20	0				Racing	Box | Cover | Manual	
431	Tony Hawk's Proving Ground	Wii	19/08/2021		Not Completed	20	0				Sports	Box | Cover	
977	Nobunaga's Ambition: Taishi	PS4	11/12/2025		Not Completed 	20	0				Strategy	Box | Cover | Manual	
83	F1 Grand Prix	PSP	04/03/2015	/	Null	19	/				Racing	Box  	
127	An American Tail	PS2	28/12/2015	17/01/2016	Completed	18	1				Action | Adventure	Box | Cover 	
259	Zoo Tycoon DS	NDS	22/08/2018	/	Null	18	/				Strategy	/	
128	Babe	PS2	28/12/2015		Not Completed	17	0				Puzzle	Box | Cover | Manual	
10	Combat Flight Simulator 3	PC	Before 2012	/	Null	17	/					/	
685	Tomb Raider III: Adventures of Lara Croft	PS1	20/11/2023		Not Completed	15	0				Action | Adventure	Box | Cover | Manual	
477	Age Of Empires II: The Age of Kings	PS2	22/04/2022		Not Completed	15	0				Strategy	Box | Cover | Manual	
25	Pursuit Force	PSP	Day 1 2012		Not Completed	15	0				Racing	Box | Cover 	Essentials
856	Championship Soccer	Atari FB3	13/05/2025	/	Null	15	/				Sports	Built-in	
899	Video Checkers	Atari FB3	13/05/2025	/	Null	15	/					Built-in	
266	Yerevan Drive	PC	24/10/2018	/	Null	15	/				Racing | L	Box | Cover	
152	Crescent Suzuki Racing	PS2	21/08/2016	/	Null	15	/				Racing	/	
504	W Smackdown: Here Comes The Pain	PS2	19/05/2022	/	Null	15	/				Sports | Fighting	Box | Cover | Manual	
505	WWE SmackDown vs. Raw 2007	PS2	19/05/2022	/	Null	15	/				Sports | Fighting	Box | Cover | Manual	
28	The Sims 2 Castaway	PSP	Early 2013		Not Completed	14	0				Strategy	Box | Cover | Manual	
97	The Dark Legions	PC	13/06/2015		Not Completed	13	0				Strategy	Box | Cover	
133	Dr. Dolittle	PS2	28/12/2015	08/02/2016	Completed	12	1	100			Adventure 	Box | Cover	
148	World Wrestling Championship	PS2	20/07/2016	/	Null	12	/				Fighting	Box | Cover | Manual	
191	Alice In Wonderland	PC	30/07/2017	07/08/2017	Completed	11	1	100			Puzzle	Box | Cover	
129	Casper's Scare School	PS2	28/12/2015	28/12/2015	Completed	10	1	100			Action | Adventure	Box | Cover | Manual	
725	Blood Bowl	NDS	12/05/2024	/	Null	10	/					Box | Cover | Manual	
461	Passport to... Rome	PSP	22/02/2022	/	Null	10	/					Box | Cover | Manual	
460	Passport to... Barcelona	PSP	22/02/2022	/	Null	10	/					Box | Cover | Manual	
808	Fruit Machine Mania	PS2	10/12/2024	/	Null	9	/				Party	Box | Cover | Manual	
39	Wall-E	PSP	02/02/2013		Not Completed	7	0				Platformer	Box | Cover | Manual	
783	True Crime: Streets of LA	GCN	17/10/2024		Not Completed		0				Action | Adventure | OpenWorld	Box | Cover | Manual	
669	Grand Theft Auto	PS Classic	07/11/2023		Not Completed		0				Action | Adventure	Built-in Console	
676	Resident Evil Director’s Cut	PS Classic	07/11/2023		Not Completed		0				Horror | Adventure	Built-in Console	
680	Syphon Filter	PS Classic	07/11/2023		Not Completed		0				TPS	Built-in Console	
684	Wild Arms	PS Classic	07/11/2023		Not Completed		0				RPG	Built-in Console	
668	Final Fantasy VII	PS Classic	07/11/2023	/	Not Completed		0				RPG	Built-in Console	
486	Delta Force: Black Hawk Down – Team Sabre	PS2	22/04/2022		Not Completed		0				FPS	Box | Cover | Manual	
363	Final Fantasy X	PS2	15/10/2020		Not Completed		0				RPG | <3	Box | Cover | Manual	Platinum
612	Tom Clancy's Splinter Cell: Chaos Theory	PS2	29/05/2023		Not Completed		0				Action | Stealth	Box | Cover | Manual	Platinum
615	Tom Clancy's Splinter Cell: Pandora Tomorrow	PS2	29/05/2023		Not Completed		0				Action | Stealth	Box | Cover | Manual	
380	Final Fantasy X-2	PS2	21/02/2021		Not Completed		0				RPG | <3	Box | Cover | Manual	Platinum
501	Final Fantasy XII	PS2	19/05/2022		Not Completed		0				RPG	Box | Cover | Manual	
507	Gran Turismo 4	PS2	19/05/2022		Not Completed		0				Racing	Box | Cover | Manual	
277	Half-Life	PS2	21/02/2019		Not Completed		0				FPS | <3	Box | Cover 	
485	Mortal Kombat: Deception	PS2	22/04/2022		Not Completed		0				Fighting	Box | Cover	
510	Need for Speed: Underground	PS2	20/05/2022		Not Completed		0				Racing	Box | Cover	
622	Tekken Tag Tournament	PS2	30/06/2023		Not Completed		0				Fighting	Box | Cover	Platinum
623	Jak 3	PS2	30/06/2023		Not Completed		0				Action | Adventure	Box | Cover | Manual	Platinum
791	Tank Elite	PS2	10/12/2024		Not Completed		0				Action	Box | Cover | Manual	
793	Arthur and the Minimoyes	PS2	10/12/2024		Not Completed		0				Action | Adventure	Box | Cover | Manual	
797	King of Clubs	PS2	10/12/2024		Not Completed		0				Sports	Box | Cover | Manual	
799	Combat Ace	PS2	10/12/2024		Not Completed		0				Action	Box | Cover | Manual	
800	Tony Hawk's Downhill Jam	PS2	10/12/2024		Not Completed		0				Sports	Box | Cover | Manual	
801	Anubis II	PS2	10/12/2024		Not Completed		0				Platformer	Box | Cover	
804	Tony Hawk's Pro Skater 4	PS2	10/12/2024		Not Completed		0				Sports	Box | Cover | Manual	
807	Outlaw Golf 2	PS2	10/12/2024		Not Completed		0				Sports	Box | Cover | Manual	
809	Ghost Recon: Jungle Storm	PS2	10/12/2024		Not Completed		0				FPS | Strategy	Box | Cover | Manual	
811	Naval Ops: Warship Gunner	PS2	10/12/2024		Not Completed		0				Action	Box | Cover | Manual	
812	National Geographic: Safari Adventures Africa	PS2	10/12/2024		Not Completed		0				Adventure	Box | Cover | Manual	
624	Rayman Revolution	PS2	30/06/2023		Not Completed		0				Platformer	Box	
626	Worms Forts: Under Siege	PS2	30/06/2023		Not Completed		0				Strategy	Box | Cover	
