Septebmber 2026					
			Need for Speed Underground: Rivals	PSP	⏳
			Call of Duty: Black Ops III	PS3	➖
			Virtua Tennis 2009	PS3	➖
			UFC Undisputed 3	PS3	➖
			FIFA 08	PSP	➖
			Sims 2 Pets	PSP	➖
			Buzz!: The Music Quiz	PS2	➖
			Intelligent Qube	PS Classic	✅
			FIFA 08	PS2	➖
			Command & Conquer: Red Alert 3	PS3	⏳
			Mario Tennis Open	3DS	✅
					
					
					
					
					
					
					
					
Call of Duty: Modern Warfare 2	PS3	✅	Completed: 4	Bought: 19	
					
November 2023					
			Red Dead Redemption: Undead Nightmare	PS3	✅
			One Piece: Pirate Warriors	PS3	✨
			Dante's Inferno	PS3	✨
			Just Dance 2	Wii	➖
			Dead Rising 2: Off the Record	PS3	✅
			LEGO Movie: The VideoGame	3DS	✅
			Super Puzzle Fighter II Turbo	PS Classic	➖
			Battle Arena Toshinden	PS Classic	✅
			Destruction Derby	PS Classic	➖
			Mr Driller	PS Classic	✅
			Silent Hill: Homecoming	PS3	✅
			Ridge Racer Type 4	PS Classic	⏳
			Tekken 3	PS Classic	✅
			Intelligent Qube	PS Classic	⏳
			Twisted Metal	PS Classic	✅
			Red Dead Redemption	PS3	✨
			Cool Boarders 2	PS Classic	➖
			Jak 3	PS2	⏳
			Need for Speed Underground: Rivals	PSP	⏳
					
Revelations: Persona	PS Classic	⏳	Completed: 8	Bought: 21	
					
October 2023					
			Beyond: Two Souls	PS3	✅
			Star Wars: The Clone Wars – Republic Heroes	Wii	✅
			Peter Jackson's King Kong: The Official Game of the Movie	PSP	✅
			One Piece: Pirate Warriors	PS3	✨
			Ratchet & Clank	PS4	✨
			Assassin's Creed: Brotherhood	PS3	✅
			Tron: Evolution	PSP	✅
			Dante's Inferno	PS3	✨
			LEGO Movie: The VideoGame	3DS	⏳
			Red Dead Redemption: Undead Nightmare	PS3	⏳
					
					
					
					
					
					
					
					
					
					
Red Dead Redemption	PS3	✅	Completed: 6	Bought: 2	
					
September 2023					
			Scurge: Hive	NDS	⏳
			Tom Clancy's Splinter Cell: Chaos Theory	NDS	⏳
